Timestamp,What is your team name?,What school is your team affiliated with? (if applicable),"IF YOU ARE NOT REGISTERING A FULL TEAM OF 4, please indicate if you would like to be auto-paired with other small teams.",What is teammate #1's Minecraft username?,What is teammate #1's Discord username?,What is teammate #2's Minecraft username? (if applicable),What is teammate #2's Discord username? (if applicable),What is teammate #3's Minecraft username? (if applicable),What is teammate #3's Discord username? (if applicable),What is teammate #4's Minecraft username? (if applicable),What is teammate #4's Discord username? (if applicable)
8/30/2021 13:51:36,Dragon Claws,Berklee,,windcat_,𝗐іndсаt#0001,ZockerPlaysMc,Zocker#8568,oidoldol,oidoldol#9643,Attack,Κахоn#0001
8/30/2021 15:24:15,Yotsuba Nakano Best Girl,UDub,No,Rindin,Radwaffles#9814,,,,,,
8/31/2021 7:50:57,Ouagadougou,,Yes,JamezLP,Loading#0100,vNori ,Kevin V.#2220,JRichGod,JRichGod#0435,,
9/1/2021 15:14:12,Bingus Bashers ,,,LeggoLogan,Leggo#4672,bigbeter,bigbeter#9483,TendieFarmer,TendieFarmer#6969,Snikklees,Snikklees#0005
9/6/2021 6:44:30,Eagle Fang,Berklee & UCSB,,koolkbraza,koolkbraza#8317,TreeRex0,tree#9872,ShoneBow,ShoneBow#7489,Worpp,worpp#5029
9/6/2021 21:09:09,Extorious,University of Washington,No,Lavaur,Lavaur#0027,SkywarsLobby,alt#0001,Hinduu,abhi.#8848,,
9/8/2021 18:45:38,roarEZ,Columbia University,,caleopemeraki,Caleope#8673,Horus_The_Local,Horus_The_Local#6101,Uni2,uni#0288,Goldendrake,Goldendrake#6638
9/9/2021 6:46:04,The Dog House,Berklee College of Music,Yes,PuppyPown123,Pup#5146,Marshmallows7920,Marshmallows7920,Goat_Wizard,goatWizard#2255,,
9/9/2021 9:05:50,Panda Dream Team,Queens University,No,UltraNickPanda,Ultra Nick#4169,Petedabeat14,Petedabeat14#7977,GalacticTsunami,twinflower_l#3246,DarkMageRS,Ryantham_716#3575
9/9/2021 9:41:21,FBI Chickens,Columbia University,,Ramses2,Ramses2#1228,Jakasaurus,Jakasaurus#0007,NewtonsMistake,DankSkillz#0001,BurntSpicyChick,Kaix77#5931
9/9/2021 10:19:07,The Dream Team,"Berklee College of Music, Northeastern University",,link5669,link5669#2013,A_Happy_Chicken,Arjan#5698,Avaaa_42,Avaaa#2724,Zero_Hero,Zerohero#2202
9/9/2021 11:57:55,Beta Sigma Ligma,University of Washington,,SPhoBoy,SPhoBoy#5366,YotsubaNAKAN0,Hokkaido#5676,CeddyWapp,CeddyWapp#0507,khrisllua,Kenknee#4801
9/9/2021 18:11:30,The Indigo Company,,Yes,Salvius_,Salvius,Ludicrous__,Ludicrous,SebassXD,Scuffed Lynel,Lacha5,Lacha
9/9/2021 18:31:21,rocky,University of Manitoba,No,Algorand,Speclesic#2472,iTroy,Troy#2602,,,,
9/10/2021 1:10:00,Creative Andys,University of Washington,Yes,Hardcore1811,PJ#9088,FinessedYourGirl,Drago#9773,lilystrack,lily strack#1987,Factionz,Factionz#2020